movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes,Unnamed: 0,genre_ids,id_x,original_language,original_title,popularity,release_date_x,title,vote_average,vote_count,id_y,release_date_y,movie,production_budget,domestic_gross,worldwide_gross
tt2402731,Unknown,2012,96.0,Drama,6.9,14,2565,"[28, 9648, 53]",48138,en,Unknown,12.08,2011-02-18,Unknown,6.6,2043,84,"Nov 3, 2006",Unknown,"$3,700,000","$26,403","$3,355,048"
tt2402927,Carol,2015,118.0,"Drama,Romance",7.2,100680,14258,"[10749, 18]",258480,en,Carol,13.096,2015-11-20,Carol,7.4,1949,60,"Nov 20, 2015",Carol,"$11,800,000","$12,711,491","$42,843,521"
tt2402927,Carol,2015,118.0,"Drama,Romance",7.2,100680,17482,"[10749, 18]",258480,en,Carol,13.096,2015-11-20,Carol,7.4,1949,60,"Nov 20, 2015",Carol,"$11,800,000","$12,711,491","$42,843,521"
tt2403021,The Green Inferno,2013,100.0,"Adventure,Horror",5.3,33239,7948,"[28, 12, 27, 53]",171424,en,The Green Inferno,13.67,2013-11-02,The Green Inferno,5.2,619,31,"Sep 25, 2015",The Green Inferno,"$1,000,000","$7,192,291","$12,931,420"
tt2403393,Desert Dancer,2014,104.0,"Biography,Drama,Music",6.2,1653,15478,[18],266102,en,Desert Dancer,1.508,2015-03-20,Desert Dancer,6.9,33,38,"Apr 10, 2015",Desert Dancer,"$4,000,000","$155,271","$596,335"
tt2403415,Love in the Time of Monsters,2014,97.0,"Comedy,Horror",5.5,183,13948,"[27, 35]",189711,en,Love in the Time of Monsters,0.6,2014-03-08,Love in the Time of Monsters,5.0,2,81,"Feb 10, 2015",Love in the Time of Monsters,"$500,000",$0,$0
tt2403815,Aroused,2013,66.0,Documentary,5.3,596,8926,[99],178862,en,Aroused,2.017,2013-02-20,Aroused,6.6,18,64,"May 3, 2013",Aroused,"$150,000",$0,$0
tt2404163,After,2012,83.0,Romance,6.3,34,5410,"[9648, 53]",118612,en,After,7.712,2012-09-14,After,5.7,86,2,"Dec 31, 2012",After,"$650,000",$0,$0
tt2404163,After,2012,83.0,Romance,6.3,34,12832,"[9648, 18]",273488,en,After,0.879,2014-08-08,After,4.0,1,2,"Dec 31, 2012",After,"$650,000",$0,$0
tt2404233,Gods of Egypt,2016,127.0,"Action,Adventure,Fantasy",5.4,95111,17417,"[28, 12, 14, 878]",205584,en,Gods of Egypt,18.517,2016-02-26,Gods of Egypt,5.4,2353,18,"Feb 26, 2016",Gods of Egypt,"$140,000,000","$31,153,464","$138,836,756"
