iter	Passed	Remaining
835	5911	1159
836	5920	1152
837	5926	1145
838	5933	1138
839	5939	1131
840	5945	1124
841	5952	1116
842	5957	1109
843	5965	1102
844	5970	1095
845	5977	1088
846	5984	1081
847	5991	1073
848	5997	1066
849	6003	1059
850	6009	1052
851	6017	1045
852	6023	1038
853	6029	1030
854	6035	1023
855	6042	1016
856	6049	1009
857	6055	1002
858	6061	995
859	6068	987
860	6074	980
861	6080	973
862	6087	966
863	6091	958
864	6096	951
865	6103	944
866	6110	937
867	6117	930
868	6121	922
869	6128	915
870	6135	908
871	6142	901
872	6148	894
873	6153	887
874	6157	879
875	6161	872
876	6166	864
877	6172	857
878	6178	850
879	6183	843
880	6189	836
881	6194	828
882	6198	821
883	6202	813
884	6207	806
885	6212	799
886	6217	792
887	6224	785
888	6229	777
889	6235	770
890	6239	763
891	6245	756
892	6252	749
893	6257	741
894	6262	734
895	6267	727
896	6273	720
897	6279	713
898	6286	706
899	6290	698
900	6296	691
901	6303	684
902	6310	677
903	6314	670
904	6320	663
905	6325	656
906	6331	649
907	6336	642
908	6342	634
909	6347	627
910	6352	620
911	6359	613
912	6366	606
913	6372	599
914	6381	592
915	6387	585
916	6392	578
917	6399	571
918	6405	564
919	6409	557
920	6414	550
921	6420	543
922	6424	535
923	6430	528
924	6436	521
925	6442	514
926	6447	507
927	6453	500
928	6459	493
929	6465	486
930	6471	479
931	6478	472
932	6485	465
933	6491	458
934	6495	451
935	6502	444
936	6508	437
937	6514	430
938	6520	423
939	6525	416
940	6532	409
941	6537	402
942	6543	395
943	6550	388
944	6557	381
945	6563	374
946	6571	367
947	6579	360
948	6584	353
949	6590	346
950	6598	339
951	6605	333
952	6612	326
953	6618	319
954	6622	312
955	6629	305
956	6635	298
957	6643	291
958	6647	284
959	6653	277
960	6659	270
961	6664	263
962	6671	256
963	6677	249
964	6682	242
965	6686	235
966	6690	228
967	6695	221
968	6701	214
969	6706	207
970	6711	200
971	6717	193
972	6723	186
973	6728	179
974	6734	172
975	6741	165
976	6746	158
977	6751	151
978	6755	144
979	6762	138
980	6768	131
981	6775	124
982	6782	117
983	6789	110
984	6794	103
985	6799	96
986	6807	89
987	6815	82
988	6821	75
989	6828	68
990	6835	62
991	6844	55
992	6850	48
993	6857	41
994	6862	34
995	6868	27
996	6876	20
997	6885	13
998	6893	6
999	6900	0
